


商品名称 ：铜                  2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,576741,393716,期货公司  ,397072,13177,期货公司  ,398582,12506,
非期货公司,1215,-666,非期货公司,6420,-15,非期货公司,4910,656,
合约代码 ：cu1803                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
18,永安期货  ,4191,1311,18,铜冠金源  ,1332,5,18,上海中期  ,1145,-7,
19,中国国际  ,4052,2261,19,新湖期货  ,1259,90,19,南华期货  ,1145,-99,
20,申万期货  ,3561,548,20,兴证期货  ,1099,-241,20,海通期货  ,1039,-651,
合计,,224255,57380,合计,,64210,-1566,合计,,55063,-1022,
合约代码 ：zn1805                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,22857,5565,1,中信期货  ,6991,1497,1,中粮期货  ,5810,544,
2,中信期货  ,10484,1814,2,五矿经易  ,6397,530,2,中信期货  ,5517,555,
3,鲁证期货  ,8545,2683,3,国贸期货  ,3769,51,3,华泰期货  ,3867,33,
4,东证期货  ,6651,1053,4,中粮期货  ,2933,995,4,五矿经易  ,3472,-381,
5,上海中期  ,4068,2588,5,上海中期  ,2728,490,5,银河期货  ,2386,194,
6,中融汇信  ,3854,1198,6,建信期货  ,2393,924,6,建信期货  ,2088,22,
7,铜冠金源  ,3334,1469,7,东亚期货  ,2300,0,7,永安期货  ,1767,12,
8,同信久恒  ,3145,-1189,8,中信建投  ,2156,332,8,海通期货  ,1538,-106,
9,华安期货  ,2928,2138,9,瑞达期货  ,2065,-1,9,铜冠金源  ,1502,510,
10,国投安信  ,2777,-315,10,迈科期货  ,1479,-24,10,云晨期货  ,1490,12,
11,大有期货  ,2354,1643,11,兴业期货  ,1444,36,11,中国国际  ,1436,102,
12,兴证期货  ,2329,-178,12,金瑞期货  ,1437,271,12,大有期货  ,1371,968,
13,一德期货  ,2132,-12,13,兴证期货  ,1291,815,13,中钢期货  ,1355,-2,
14,中辉期货  ,1960,725,14,永安期货  ,1226,328,14,鲁证期货  ,1305,79,
15,申万期货  ,1881,390,15,海通期货  ,1059,419,15,国信期货  ,1280,16,
16,银河期货  ,1860,1306,16,金汇期货  ,1012,5,16,东证期货  ,1192,112,
17,五矿经易  ,1851,1080,17,同信久恒  ,1003,80,17,方正中期  ,1120,232,
18,中粮期货  ,1771,-1718,18,方正中期  ,842,196,18,华安期货  ,1019,224,
19,国泰君安  ,1705,716,19,银河期货  ,809,-574,19,南华期货  ,888,34,
20,永安期货  ,1646,1138,20,广发期货  ,729,45,20,兴证期货  ,780,18,
合计,,88132,22094,合计,,44063,6415,合计,,41183,3178,
合约代码 ：zn1806                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,7403,4167,1,首创期货  ,3098,0,1,中粮期货  ,4119,20,
2,中信期货  ,4368,3036,2,迈科期货  ,3050,-1,2,上海中期  ,3773,496,
3,鲁证期货  ,3264,1586,3,五矿经易  ,2135,200,3,中信期货  ,2711,1419,
4,中辉期货  ,2037,997,4,建信期货  ,2008,377,4,银河期货  ,1730,2,
5,中融汇信  ,1820,458,5,银河期货  ,1456,407,5,云晨期货  ,937,1,
6,东证期货  ,1695,-7,6,东亚期货  ,1340,0,6,兴业期货  ,788,0,
7,五矿经易  ,1406,630,7,中钢期货  ,1213,20,7,五矿经易  ,787,-38,
8,国贸期货  ,1040,1033,8,国贸期货  ,1036,1026,8,中财期货  ,611,22,
9,上海中期  ,1015,938,9,国信期货  ,984,188,9,中信建投  ,459,6,
10,同信久恒  ,923,-524,10,通惠期货  ,760,0,10,光大期货  ,442,103,
11,银河期货  ,867,400,11,金瑞期货  ,758,-7,11,中航期货  ,411,1,
12,国投安信  ,833,512,12,兴证期货  ,756,-267,12,国富期货  ,396,160,
13,兴证期货  ,588,69,13,海通期货  ,614,71,13,首创期货  ,391,15,
14,方正中期  ,449,271,14,兴业期货  ,555,43,14,金瑞期货  ,342,-3,
15,建信期货  ,429,-108,15,中信期货  ,454,221,15,同信久恒  ,338,-6,
16,新湖期货  ,406,148,16,宝城期货  ,394,0,16,冠通期货  ,325,0,
17,永安期货  ,280,177,17,广发期货  ,336,14,17,铜冠金源  ,309,-100,
18,倍特期货  ,267,199,18,国泰君安  ,276,-5,18,东证期货  ,285,-47,
19,铜冠金源  ,252,-129,19,鲁证期货  ,251,177,19,先融期货  ,273,0,
20,金瑞期货  ,224,-408,20,华泰期货  ,223,70,20,海通期货  ,271,116,
合计,,29566,13445,合计,,21697,2534,合计,,19698,2167,
商品名称 ：铅                  2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,49546,20254,期货公司  ,33468,877,期货公司  ,33468,877,
非期货公司,0,0,非期货公司,0,0,非期货公司,0,0,
合约代码 ：pb1803                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,中信期货  ,1338,251,1,国投安信  ,1216,-23,1,中信期货  ,1870,-215,
2,国投安信  ,1293,41,2,五矿经易  ,873,0,2,上海中期  ,1362,-34,
3,银河期货  ,579,494,3,中银国际  ,650,-157,3,铜冠金源  ,742,-32,
4,海通期货  ,578,-1117,4,海通期货  ,601,-42,4,鲁证期货  ,310,-81,
5,中融汇信  ,523,-124,5,银河期货  ,529,-254,5,中粮期货  ,272,-64,
6,中辉期货  ,509,17,6,中信期货  ,395,-89,6,方正中期  ,260,-94,
7,鲁证期货  ,466,-477,7,广发期货  ,394,-7,7,首创期货  ,241,-240,
8,中信建投  ,390,84,8,首创期货  ,357,-6,8,五矿经易  ,237,106,
9,国泰君安  ,344,-313,9,建信期货  ,324,19,9,广州期货  ,221,-6,
10,兴证期货  ,343,-114,10,南华期货  ,229,-119,10,云晨期货  ,200,0,
11,永安期货  ,333,66,11,中钢期货  ,200,0,11,东证期货  ,198,-1,
12,南华期货  ,306,56,12,东证期货  ,197,7,12,国信期货  ,191,-25,
13,上海中期  ,284,158,13,新湖期货  ,138,-48,13,海通期货  ,147,-16,
14,东吴期货  ,274,205,14,迈科期货  ,137,-3,14,永安期货  ,136,-21,
15,首创期货  ,256,235,15,永安期货  ,114,-14,15,金瑞期货  ,129,-4,
16,国贸期货  ,250,232,16,渤海期货  ,100,0,16,中信建投  ,128,45,
17,华泰期货  ,250,196,17,中融汇信  ,99,-63,17,大有期货  ,125,0,
18,美尔雅    ,188,66,18,国海良时  ,97,-120,18,瑞达期货  ,114,-1,
19,建信期货  ,170,-73,19,中粮期货  ,89,89,19,国贸期货  ,86,-110,
20,金瑞期货  ,159,-13,20,华安期货  ,79,-1,20,银河期货  ,64,-45,
合计,,8833,-130,合计,,6818,-831,合计,,7033,-838,
合约代码 ：pb1804                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,4645,3507,1,东证期货  ,1913,8,1,中信期货  ,2305,320,
2,中信期货  ,2275,74,2,海通期货  ,1669,-27,2,银河期货  ,2128,-314,
3,方正中期  ,1465,1149,3,中银国际  ,1436,1,3,五矿经易  ,1421,42,
4,兴证期货  ,1463,747,4,永安期货  ,1235,61,4,云晨期货  ,1181,8,
5,国投安信  ,1363,621,5,方正中期  ,1070,228,5,铜冠金源  ,738,-46,
6,上海中期  ,1333,984,6,同信久恒  ,1009,2,6,永安期货  ,731,336,
7,鲁证期货  ,1207,1045,7,中信期货  ,757,89,7,南华期货  ,654,19,
8,国泰君安  ,1024,703,8,国泰君安  ,585,126,8,鲁证期货  ,651,70,
9,银河期货  ,951,866,9,国投安信  ,471,10,9,国泰君安  ,597,18,
10,弘业期货  ,722,675,10,宏源期货  ,455,40,10,上海中期  ,593,138,
11,永安期货  ,643,69,11,广发期货  ,441,29,11,海通期货  ,467,54,
12,东证期货  ,642,254,12,中粮期货  ,425,373,12,方正中期  ,452,131,
13,南华期货  ,629,454,13,国信期货  ,381,-75,13,中粮期货  ,285,15,
14,中融汇信  ,608,268,14,五矿经易  ,379,3,14,华鑫期货  ,273,30,
15,铜冠金源  ,541,384,15,迈科期货  ,347,-66,15,新湖期货  ,266,-12,
16,华安期货  ,539,361,16,银河期货  ,344,289,16,华泰期货  ,242,59,
17,中辉期货  ,493,111,17,建信期货  ,298,6,17,建信期货  ,231,28,
18,申万期货  ,489,111,18,国海良时  ,239,13,18,金汇期货  ,208,42,
19,徽商期货  ,446,329,19,冠通期货  ,239,1,19,瑞达期货  ,206,-1,
20,中粮期货  ,436,156,20,大有期货  ,210,-45,20,国海良时  ,200,29,
合计,,21914,12868,合计,,13903,1066,合计,,13829,966,
商品名称 ：镍                  2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,744752,448302,期货公司  ,326748,40498,期货公司  ,326598,40498,
非期货公司,0,-10,非期货公司,0,0,非期货公司,150,0,
合约代码 ：ni1805                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,37114,19806,1,海通期货  ,21530,5157,1,兴业期货  ,14260,-48,
2,永安期货  ,16286,10532,2,中信期货  ,17393,594,2,中信期货  ,13894,1042,
3,国投安信  ,16029,6131,3,永安期货  ,12774,441,3,国泰君安  ,11817,-1170,
4,徽商期货  ,14266,10219,4,五矿经易  ,11520,1862,4,海通期货  ,11215,4475,
5,国泰君安  ,13922,7542,5,国泰君安  ,11010,192,5,国富期货  ,8798,306,
6,东证期货  ,13454,6072,6,中信建投  ,7738,165,6,江海汇鑫  ,8729,-28,
7,中信期货  ,12300,7510,7,方正中期  ,7433,148,7,建信期货  ,8641,-62,
8,华泰期货  ,12066,6563,8,中粮期货  ,6651,349,8,五矿经易  ,8300,1316,
9,兴证期货  ,11738,6614,9,国投安信  ,6379,1447,9,混沌天成  ,7924,-14,
10,南华期货  ,11348,4573,10,华泰期货  ,6151,487,10,中银国际  ,7900,1594,
11,申万期货  ,11057,7943,11,南华期货  ,5799,-596,11,信达期货  ,7233,690,
12,方正中期  ,10276,7004,12,申万期货  ,5117,1162,12,南华期货  ,6542,230,
13,银河期货  ,10155,6440,13,国贸期货  ,4806,525,13,光大期货  ,5322,60,
14,浙商期货  ,9307,4566,14,国海良时  ,4522,542,14,新湖期货  ,4983,312,
15,招商期货  ,8932,3440,15,兴证期货  ,4424,888,15,东证期货  ,4668,1186,
16,宏源期货  ,8709,5750,16,建信期货  ,3675,286,16,广发期货  ,4519,942,
17,东航期货  ,8605,6072,17,鲁证期货  ,3568,1161,17,一德期货  ,4473,310,
18,鲁证期货  ,8216,3805,18,东证期货  ,3441,1698,18,方正中期  ,4302,394,
19,中信建投  ,8070,2223,19,弘业期货  ,3392,224,19,银河期货  ,4302,684,
20,华安期货  ,7998,5869,20,新湖期货  ,3303,758,20,大有期货  ,3900,130,
合计,,249848,138674,合计,,150626,17490,合计,,151722,12349,
合约代码 ：ni1807                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,38694,24659,1,永安期货  ,10777,8,1,国泰君安  ,10726,1139,
2,中信期货  ,11663,6952,2,国泰君安  ,9391,1039,2,银河期货  ,5524,113,
3,东证期货  ,9332,4385,3,浙商期货  ,2857,1211,3,中信期货  ,3159,-101,
4,徽商期货  ,9048,6418,4,方正中期  ,2442,426,4,永安期货  ,2891,-40,
5,中融汇信  ,6290,3425,5,金瑞期货  ,1925,-200,5,南华期货  ,1968,33,
6,申万期货  ,6018,3802,6,大地期货  ,1772,174,6,浙商期货  ,1871,552,
7,华安期货  ,5047,3985,7,南华期货  ,1728,49,7,新湖期货  ,1608,-41,
8,同信久恒  ,5033,3208,8,新湖期货  ,1312,28,8,大地期货  ,1585,1,
9,东航期货  ,4636,3453,9,国贸期货  ,1244,9,9,东证期货  ,1378,147,
10,鲁证期货  ,4332,3005,10,东证期货  ,1207,-157,10,五矿经易  ,1312,44,
11,国泰君安  ,4094,2230,11,中信期货  ,1139,-98,11,海通期货  ,1303,421,
12,兴证期货  ,3857,2767,12,国投安信  ,981,94,12,华泰期货  ,1062,20,
13,浙商期货  ,3655,1363,13,华泰期货  ,694,603,13,兴证期货  ,880,215,
14,广金期货  ,3306,2297,14,瑞达期货  ,511,7,14,国投安信  ,836,20,
15,国投安信  ,3170,1501,15,申万期货  ,493,76,15,兴业期货  ,715,0,
16,银河期货  ,2999,2255,16,中银国际  ,426,0,16,金瑞期货  ,695,48,
17,长江期货  ,2885,2771,17,光大期货  ,378,-1,17,申万期货  ,616,-6,
18,华泰期货  ,2821,2331,18,东吴期货  ,316,311,18,江海汇鑫  ,606,5,
19,方正中期  ,2785,2501,19,五矿经易  ,247,124,19,瑞达期货  ,491,4,
20,上海中期  ,2582,1942,20,中粮期货  ,245,-3,20,中粮期货  ,355,60,
合计,,132247,85250,合计,,40085,3700,合计,,39581,2634,
合约代码 ：ni1809                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,5679,3397,1,国贸期货  ,7127,-4,1,南华期货  ,5237,-38,
2,东证期货  ,2755,390,2,中银国际  ,3582,-107,2,建信期货  ,3919,219,
3,新湖期货  ,1438,1098,3,海通期货  ,2331,-106,3,海通期货  ,3712,19,
4,中信期货  ,1254,701,4,国泰君安  ,2230,-179,4,信达期货  ,3161,11,
5,鲁证期货  ,1078,607,5,五矿经易  ,1973,-81,5,国泰君安  ,2842,459,
6,国泰君安  ,1068,908,6,华泰期货  ,1862,737,6,华泰期货  ,2075,44,
7,华泰期货  ,991,960,7,东证期货  ,1243,26,7,江海汇鑫  ,1953,2,
8,中融汇信  ,959,854,8,方正中期  ,1179,27,8,中粮期货  ,1657,25,
9,兴证期货  ,837,187,9,中信期货  ,1121,76,9,兴业期货  ,1367,247,
10,国投安信  ,787,150,10,永安期货  ,1059,165,10,迈科期货  ,1116,1,
11,建信期货  ,744,738,11,金瑞期货  ,1058,5,11,新湖期货  ,784,102,
12,南华期货  ,722,235,12,海证期货  ,996,0,12,国投安信  ,706,15,
13,上海中期  ,690,495,13,广发期货  ,970,107,13,首创期货  ,695,13,
14,银河期货  ,599,305,14,银河期货  ,711,-20,14,中银国际  ,676,-275,
15,东亚期货  ,598,328,15,同信久恒  ,620,-30,15,中国国际  ,629,15,
16,中辉期货  ,559,470,16,新湖期货  ,617,8,16,中信期货  ,571,28,
17,神华期货  ,557,546,17,招商期货  ,538,369,17,五矿经易  ,554,-1,
18,永安期货  ,522,-305,18,兴证期货  ,500,97,18,方正中期  ,510,-1,
19,招商期货  ,441,370,19,格林大华  ,431,5,19,渤海期货  ,508,-10,
20,东航期货  ,415,347,20,申万期货  ,377,3,20,光大期货  ,469,17,
合计,,22693,12781,合计,,30525,1098,合计,,33141,892,
商品名称 ：锡                  2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,14170,7270,期货公司  ,12286,103,期货公司  ,12286,103,
非期货公司,0,0,非期货公司,0,0,非期货公司,0,0,
合约代码 ：sn1805                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,2122,1092,1,中信期货  ,1868,-18,1,中信期货  ,1365,45,
2,中信期货  ,961,570,2,金瑞期货  ,1862,-6,2,银河期货  ,959,31,
3,方正中期  ,723,344,3,安粮期货  ,717,2,3,五矿经易  ,897,0,
4,国投安信  ,544,140,4,国泰君安  ,673,-26,4,东海期货  ,793,2,
5,鲁证期货  ,537,219,5,徽商期货  ,602,6,5,光大期货  ,705,-9,
6,华安期货  ,503,260,6,云晨期货  ,478,8,6,国贸期货  ,677,0,
7,徽商期货  ,471,277,7,兴业期货  ,451,-1,7,金瑞期货  ,604,-47,
8,东证期货  ,417,298,8,永安期货  ,424,-43,8,海通期货  ,574,3,
9,金瑞期货  ,331,216,9,五矿经易  ,298,21,9,一德期货  ,425,-9,
10,申万期货  ,321,76,10,东证期货  ,274,-15,10,东证期货  ,291,2,
11,华泰期货  ,299,241,11,大有期货  ,250,6,11,鲁证期货  ,236,136,
12,银河期货  ,291,176,12,南华期货  ,231,-53,12,大有期货  ,233,-2,
13,东航期货  ,275,144,13,中国国际  ,193,-7,13,中钢期货  ,225,0,
14,西部期货  ,267,132,14,宏源期货  ,180,38,14,南华期货  ,211,22,
15,广发期货  ,233,137,15,东亚期货  ,157,21,15,中粮期货  ,201,-14,
16,长江期货  ,228,132,16,广发期货  ,123,-5,16,永安期货  ,199,-20,
17,中辉期货  ,223,-45,17,长江期货  ,112,13,17,中国国际  ,172,-37,
18,中信建投  ,220,115,18,东航期货  ,111,25,18,广发期货  ,165,-10,
19,中融汇信  ,217,8,19,中粮期货  ,109,39,19,方正中期  ,163,4,
20,兴证期货  ,189,68,20,华泰期货  ,106,-8,20,国投安信  ,107,-2,
合计,,9372,4600,合计,,9219,-3,合计,,9202,95,
商品名称 ：黄金                2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,86065,18340,期货公司  ,142706,1899,期货公司  ,51740,4940,
非期货公司,5053,392,非期货公司,34172,2022,非期货公司,125138,-1019,
合约代码 ：au1806                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,12266,1357,1,五矿经易  ,11285,426,1,一德期货  ,4462,2609,
2,上海中期  ,7790,2614,2,申万期货  ,10414,71,2,招金期货  ,3679,103,
3,东证期货  ,5853,2098,3,银河期货  ,8741,-44,3,中信期货  ,3301,182,
4,广发期货  ,5456,1096,4,中信期货  ,8373,-143,4,海通期货  ,2477,243,
5,国泰君安  ,5063,727,5,海通期货  ,5861,-409,5,国泰君安  ,2326,1,
6,中融汇信  ,4693,2016,6,华泰期货  ,5518,287,6,华泰期货  ,2180,118,
7,国投安信  ,2795,485,7,山金期货  ,4291,10,7,国贸期货  ,1705,61,
8,中信期货  ,2675,422,8,方正中期  ,4286,-204,8,平安期货  ,1615,244,
9,一德期货  ,2654,792,9,国泰君安  ,4267,82,9,中信建投  ,1440,69,
10,华泰期货  ,1617,7,10,永安期货  ,3472,91,10,中金期货  ,1386,-8,
11,平安期货  ,1498,837,11,中衍期货  ,3274,-7,11,首创期货  ,1381,-11,
12,兴证期货  ,1352,57,12,国元期货  ,3206,7,12,南华期货  ,1237,90,
13,徽商期货  ,1340,344,13,鲁证期货  ,2951,-106,13,东证期货  ,1103,-179,
14,鲁证期货  ,1209,-733,14,东证期货  ,2816,492,14,方正中期  ,965,116,
15,南华期货  ,1152,350,15,东海期货  ,2769,24,15,金瑞期货  ,936,25,
16,建信期货  ,1145,312,16,中信建投  ,2765,142,16,东海期货  ,741,282,
17,东海期货  ,1054,-75,17,招金期货  ,2763,-50,17,银河期货  ,725,12,
18,永安期货  ,1049,265,18,光大期货  ,2468,109,18,申万期货  ,714,155,
19,国金期货  ,945,738,19,广发期货  ,2346,122,19,东航期货  ,713,-70,
20,金瑞期货  ,932,67,20,中粮期货  ,2242,45,20,广发期货  ,713,-64,
合计,,62538,13776,合计,,94108,945,合计,,33799,3978,
合约代码 ：au1812                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,鲁证期货  ,239,122,1,中信期货  ,4611,0,1,国泰君安  ,1252,12,
2,上海中期  ,128,-391,2,永安期货  ,1348,6,2,招金期货  ,1204,3,
3,东证期货  ,94,-82,3,五矿经易  ,844,0,3,鲁证期货  ,540,56,
4,徽商期货  ,70,-70,4,东证期货  ,585,-4,4,福能期货  ,520,0,
5,中辉期货  ,61,-20,5,兴证期货  ,550,0,5,大地期货  ,241,6,
6,海通期货  ,50,-121,6,国海良时  ,317,0,6,金瑞期货  ,156,6,
7,迈科期货  ,38,33,7,银河期货  ,276,0,7,迈科期货  ,129,-4,
8,上海大陆  ,34,26,8,平安期货  ,245,0,8,东证期货  ,124,4,
9,申万期货  ,30,-14,9,南华期货  ,154,0,9,瑞龙期货  ,100,17,
10,中信期货  ,28,-25,10,东兴期货  ,123,1,10,国联期货  ,99,4,
11,方正中期  ,27,23,11,渤海期货  ,100,0,11,徽商期货  ,81,-13,
12,国投安信  ,20,20,12,建信期货  ,99,-8,12,中辉期货  ,80,8,
13,大地期货  ,20,-140,13,浙商期货  ,94,0,13,长江期货  ,67,3,
14,瑞龙期货  ,17,2,14,福能期货  ,90,13,14,新湖期货  ,62,-3,
15,国泰君安  ,15,-152,15,西南期货  ,90,0,15,建信期货  ,57,6,
16,招金期货  ,14,-317,16,鲁证期货  ,55,13,16,华泰期货  ,54,3,
17,建信期货  ,14,6,17,中辉期货  ,52,9,17,海通期货  ,48,2,
18,宏源期货  ,14,14,18,迈科期货  ,49,0,18,上海大陆  ,40,32,
19,倍特期货  ,14,0,19,第一创业  ,43,0,19,金石期货  ,40,0,
20,福能期货  ,13,13,20,广发期货  ,40,0,20,南华期货  ,35,1,
合计,,940,-1073,合计,,9765,30,合计,,4929,143,
商品名称 ：白银                2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,314667,169653,期货公司  ,404287,15917,期货公司  ,299480,12964,
非期货公司,4067,-45,非期货公司,5807,84,非期货公司,110614,3037,
合约代码 ：ag1806                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,27865,8859,1,海通期货  ,26332,53,1,中信期货  ,39456,-477,
2,中信期货  ,22430,7639,2,方正中期  ,18263,367,2,国泰君安  ,25804,447,
3,中融汇信  ,21116,13395,3,华泰期货  ,16380,230,3,国贸期货  ,18001,109,
4,上海中期  ,13567,11291,4,永安期货  ,12120,1128,4,海通期货  ,13279,2024,
5,东证期货  ,12698,10208,5,中信期货  ,11427,239,5,招金期货  ,12912,2183,
6,中信建投  ,8699,7324,6,建信期货  ,11287,1174,6,永安期货  ,12274,-361,
7,南华期货  ,8427,6520,7,东证期货  ,11095,-7254,7,平安期货  ,10845,3104,
8,同信久恒  ,8286,1984,8,国泰君安  ,9832,364,8,五矿经易  ,10378,-229,
9,国泰君安  ,6961,3100,9,国投安信  ,9386,630,9,华泰期货  ,7063,336,
10,国投安信  ,6594,1423,10,南华期货  ,9114,1181,10,国海良时  ,6762,-56,
11,兴证期货  ,6489,3359,11,首创期货  ,8921,-28,11,申万期货  ,6588,677,
12,华泰期货  ,6458,2422,12,金瑞期货  ,8671,41,12,方正中期  ,6198,479,
13,招商期货  ,5893,2938,13,通惠期货  ,8415,5,13,银河期货  ,6130,715,
14,平安期货  ,5891,5016,14,中融汇信  ,7804,1493,14,中金期货  ,5655,-28,
15,建信期货  ,5546,414,15,广发期货  ,7721,1997,15,金瑞期货  ,5239,25,
16,徽商期货  ,5387,3975,16,中衍期货  ,7698,141,16,建信期货  ,5234,124,
17,广发期货  ,5268,4037,17,中粮期货  ,7533,225,17,迈科期货  ,5052,39,
18,宏源期货  ,5054,3052,18,鲁证期货  ,6348,507,18,兴证期货  ,4969,-162,
19,永安期货  ,5029,3129,19,中信建投  ,6288,3260,19,大地期货  ,4918,429,
20,招金期货  ,4397,2294,20,五矿经易  ,6275,-27,20,中国国际  ,4801,985,
合计,,192055,102379,合计,,210910,5726,合计,,211558,10363,
商品名称 ：螺纹钢              2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,3882936,1652878,期货公司  ,1498498,48785,期货公司  ,1498698,48785,
非期货公司,0,0,非期货公司,200,0,非期货公司,0,0,
合约代码 ：rb1805                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,192086,55905,1,永安期货  ,104114,33891,1,银河期货  ,99427,26767,
2,中信期货  ,178284,85393,2,国泰君安  ,82905,5599,2,永安期货  ,93163,-8424,
3,永安期货  ,145655,83119,3,申万期货  ,81602,2433,3,海通期货  ,52482,-5599,
4,国投安信  ,131182,37946,4,鲁证期货  ,65888,-8039,4,中钢期货  ,52462,932,
5,东证期货  ,103227,25991,5,中信期货  ,59001,-17492,5,方正中期  ,38890,2034,
6,方正中期  ,102904,41282,6,海通期货  ,38040,5243,6,国泰君安  ,38304,221,
7,申万期货  ,99941,45174,7,华泰期货  ,33497,10504,7,华泰期货  ,34911,5997,
8,银河期货  ,92418,49975,8,新湖期货  ,30382,384,8,中信期货  ,34667,-1978,
9,华泰期货  ,82527,29828,9,海证期货  ,24834,8736,9,宏源期货  ,32712,1033,
10,徽商期货  ,82338,25957,10,华鑫期货  ,24642,5562,10,浙商期货  ,28161,-6130,
11,鲁证期货  ,76917,41890,11,银河期货  ,23144,2967,11,美尔雅    ,24713,5605,
12,国泰君安  ,71868,27765,12,方正中期  ,23034,2608,12,国贸期货  ,23820,1618,
13,浙商期货  ,70884,38777,13,广发期货  ,20987,3647,13,国投安信  ,23712,336,
14,兴证期货  ,70787,17186,14,国投安信  ,20657,3846,14,招商期货  ,22844,-1162,
15,东海期货  ,68225,37665,15,金瑞期货  ,20350,2439,15,申万期货  ,22656,5728,
16,中辉期货  ,56547,36453,16,光大期货  ,19609,-2538,16,中大期货  ,21651,765,
17,同信久恒  ,52103,13527,17,兴证期货  ,16882,9123,17,一德期货  ,21135,3960,
18,弘业期货  ,50629,27600,18,五矿经易  ,15610,4145,18,东海期货  ,21068,5177,
19,上海大陆  ,49433,32268,19,浙商期货  ,15251,-9952,19,瑞达期货  ,20976,-473,
20,光大期货  ,47890,15598,20,东航期货  ,15184,7400,20,格林大华  ,20517,1312,
合计,,1825845,769299,合计,,735613,70506,合计,,728271,37719,
合约代码 ：rb1810                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,中信期货  ,29223,15897,1,永安期货  ,32823,9248,1,永安期货  ,32867,3564,
2,东证期货  ,18324,7336,2,中信期货  ,24568,9655,2,银河期货  ,12129,1168,
3,海通期货  ,17519,5621,3,浙商期货  ,15490,255,3,中信期货  ,9142,108,
4,永安期货  ,17366,11258,4,大地期货  ,7242,994,4,东证期货  ,8598,916,
5,华泰期货  ,12793,8251,5,广发期货  ,7054,725,5,中粮期货  ,7666,-223,
6,鲁证期货  ,9056,2608,6,华泰期货  ,7017,1621,6,申万期货  ,7548,880,
